drive,frame,baseline_idx,baseline_score,baseline_x,baseline_y,baseline_z,matched,warm_idx,warm_score,iou,center_dist,warm_x,warm_y,warm_z,n_carried_over,n_freshly_refilled
2011_09_26_drive_0001_sync,0000000000,0,0.8281156420707703,25.189311981201172,8.581962585449219,-1.6370322704315186,True,7,0.8281156420707703,1.000000238418579,0.0,25.189311981201172,8.581962585449219,-1.6370322704315186,0,0
2011_09_26_drive_0001_sync,0000000000,1,0.5092338919639587,42.61431884765625,7.407992362976074,-1.456986665725708,True,22,0.5092338919639587,1.0,0.0,42.61431884765625,7.407992362976074,-1.456986665725708,0,0
2011_09_26_drive_0001_sync,0000000000,2,0.7618128657341003,33.4407958984375,7.9200215339660645,-1.738966464996338,True,51,0.7618128657341003,0.9999998211860657,0.0,33.4407958984375,7.9200215339660645,-1.738966464996338,0,0
2011_09_26_drive_0001_sync,0000000001,0,0.3668552041053772,32.00936508178711,7.475829124450684,-1.76702880859375,True,33,0.4846913814544678,0.5065463185310364,0.3495800793170929,32.00627517700195,7.825188636779785,-1.7790544033050537,3247,849
2011_09_26_drive_0001_sync,0000000001,1,0.5543375611305237,41.49570846557617,7.5351176261901855,-1.6307120323181152,True,87,0.7005317807197571,0.6967903971672058,0.06996436417102814,41.55442810058594,7.571476459503174,-1.6418946981430054,3247,849
2011_09_26_drive_0001_sync,0000000001,2,0.36533302068710327,21.3790283203125,15.90073013305664,-0.9728602170944214,False,,,0.0,,,,,3247,849
2011_09_26_drive_0001_sync,0000000001,3,0.7760445475578308,23.821434020996094,8.688435554504395,-1.5695985555648804,True,24,0.5848371982574463,0.7816252112388611,0.19999094307422638,23.94003677368164,8.637136459350586,-1.722235918045044,3247,849
2011_09_26_drive_0001_sync,0000000002,0,0.6845588088035583,22.496492385864258,8.637484550476074,-1.6023612022399902,True,54,0.7789663672447205,0.8753875494003296,0.11498358845710754,22.44507598876953,8.648466110229492,-1.704620599746704,3201,895
2011_09_26_drive_0001_sync,0000000002,1,0.6403313279151917,30.764938354492188,8.230831146240234,-1.8251906633377075,True,81,0.7366423606872559,0.8397510051727295,0.12503808736801147,30.770763397216797,8.108213424682617,-1.848970651626587,3201,895
2011_09_26_drive_0001_sync,0000000002,2,0.47294262051582336,39.92009735107422,7.139434337615967,-1.665832757949829,True,91,0.5350360870361328,0.796693742275238,0.13772569596767426,40.0212287902832,7.127955436706543,-1.5730478763580322,3201,895
2011_09_26_drive_0001_sync,0000000003,0,0.8932310342788696,21.113855361938477,8.726282119750977,-1.7142407894134521,True,90,0.705182671546936,0.8515214920043945,0.1315426379442215,21.100982666015625,8.647767066955566,-1.8189935684204102,3163,933
2011_09_26_drive_0001_sync,0000000003,1,0.48610106110572815,45.44639205932617,6.288912296295166,-1.680220127105713,True,20,0.41942158341407776,0.6799260973930359,0.07374514639377594,45.51313400268555,6.313360214233398,-1.660569190979004,3163,933
2011_09_26_drive_0001_sync,0000000003,2,0.7338807582855225,29.3187313079834,7.906735897064209,-1.9023555517196655,True,62,0.7094367146492004,0.737734317779541,0.2113649696111679,29.419851303100586,8.089435577392578,-1.869633674621582,3163,933
2011_09_26_drive_0001_sync,0000000004,0,0.8172647953033447,19.75916290283203,8.806441307067871,-1.707251787185669,True,75,0.8353961706161499,0.9002811312675476,0.07011062651872635,19.729928970336914,8.749176025390625,-1.73520827293396,3150,946
2011_09_26_drive_0001_sync,0000000004,1,0.7205445170402527,37.37213134765625,7.453200817108154,-1.6482722759246826,True,63,0.6523646116256714,0.9211311936378479,0.04054278880357742,37.35568618774414,7.427023410797119,-1.6745023727416992,3150,946
2011_09_26_drive_0001_sync,0000000004,2,0.882334291934967,28.162277221679688,8.137608528137207,-1.9076000452041626,True,45,0.8479950428009033,0.9270262122154236,0.03331024944782257,28.146745681762695,8.111884117126465,-1.9219735860824585,3150,946
2011_09_26_drive_0001_sync,0000000005,0,0.5359342098236084,35.90731430053711,7.609724044799805,-1.595177412033081,True,13,0.6001915335655212,0.8689346313476562,0.0873919203877449,35.98567581176758,7.572449684143066,-1.5848119258880615,3202,894
2011_09_26_drive_0001_sync,0000000005,1,0.8726440668106079,18.35086441040039,8.785945892333984,-1.5802385807037354,True,66,0.8893524408340454,0.9232355356216431,0.06747967004776001,18.330013275146484,8.756357192993164,-1.6371880769729614,3202,894
2011_09_26_drive_0001_sync,0000000005,2,0.8662533760070801,26.643945693969727,8.2142915725708,-1.797212839126587,True,82,0.8682101368904114,0.8538762331008911,0.1340852528810501,26.767929077148438,8.263099670410156,-1.812204360961914,3202,894
2011_09_26_drive_0001_sync,0000000006,0,0.6924287676811218,34.56719207763672,7.979795455932617,-1.6481927633285522,True,20,0.7522690892219543,0.7434859871864319,0.1965242326259613,34.64266586303711,7.799415588378906,-1.6284801959991455,3124,972
2011_09_26_drive_0001_sync,0000000006,1,0.8834019899368286,17.082544326782227,8.808485984802246,-1.66526198387146,True,93,0.8776060342788696,0.8385460376739502,0.08485468477010727,17.04644012451172,8.823637008666992,-1.5899808406829834,3124,972
2011_09_26_drive_0001_sync,0000000006,2,0.7419902682304382,25.454782485961914,8.325282096862793,-1.7763721942901611,True,58,0.848638117313385,0.8987900614738464,0.07912004739046097,25.505008697509766,8.265414237976074,-1.7639968395233154,3124,972
2011_09_26_drive_0001_sync,0000000007,0,0.8613219261169434,23.89423370361328,8.339245796203613,-1.8361634016036987,True,90,0.8372010588645935,0.8725199699401855,0.060392625629901886,23.891393661499023,8.398447036743164,-1.824569582939148,3155,941
